_id,facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
5315,RESIDENTIAL CARE ELDERLY,345920260,GOOD HOPE CARE HOME,PETER HEALTHCARE LLC,"SSEMPAKA,PETER",(916) 406-8385,4112 LAUREL POINT PLACE,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,4/17/2025,,5252025
5358,RESIDENTIAL CARE ELDERLY,342700771,GRACE CARE HOME,GRACIA PALAFOX LAPID,"PALAFOX LAPID, GRACIA",(916) 692-8063,7708 RUDYARD CIRCLE,ANTELOPE,CA,95843,SACRAMENTO,59,4,LICENSED,10/30/2020,,5252025
5520,RESIDENTIAL CARE ELDERLY,345920310,GREAT VALLEY CARE HOME,GREAT VALLEY CARE HOME,"MEHTA, MONIKA",(916) 919-6601,5741 GREAT VALLEY DR,ANTELOPE,CA,95843,SACRAMENTO,59,6,PENDING,,,5252025
6464,RESIDENTIAL CARE ELDERLY,345002947,J & H CARE HOMES,J & H INVESTMENTS INC.,"SALMAN, RASHA",(916) 905-8038,8529 ARROWROOT CIRCLE,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,12/9/2022,,5252025
7382,RESIDENTIAL CARE ELDERLY,347001322,LOVE & CARE FOR ELDER,"SUIUGAN, ELIZABETH & JOHN I.","SUIUGAN, ELIZABETH",(916) 723-2912,7931 COOK RIOLO ROAD,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,10/21/1999,,5252025
7383,RESIDENTIAL CARE ELDERLY,342700396,LOVE & CARE FOR ELDER II,"SUIUGAN, ELIZABETH","SUIUGAN, ELIZABETH",(916) 723-2912,7990 COOK RIOLO RD,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,3/4/2019,,5252025
7384,RESIDENTIAL CARE ELDERLY,345920294,LOVE & CARE FOR ELDER III,"SUIUGAN, ELIZABETH","SUIUGAN, ELIZABETH",(916) 412-7301,7991 COOK RIOLO RD.,ANTELOPE,CA,95843,SACRAMENTO,59,6,PENDING,,,5252025
7660,RESIDENTIAL CARE ELDERLY,345002896,MARATHA MANOR,PB HEALTH CARE,"NWAUKONI, BENEDICTA",(510) 860-2927,5416 WOODED GLEN PLACE,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,5/24/2022,,5252025
9238,RESIDENTIAL CARE ELDERLY,347004307,PINE HOLLOW CARE HOME,"MATSKEVICH, TATYANA","MATSKEVICH, TATYANA",(916) 628-6150,8515 RAPOZO CT.,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,10/21/2009,,5252025
10584,RESIDENTIAL CARE ELDERLY,342700338,SIGNATURE LIVING ON STORY RIDGE WAY,SIGNATURE LIVING ON STORY RIDGE WAY LLC,"RIMANDO, NORA",(916) 300-5363,8400 STORY RIDGE WAY,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,10/29/2018,,5252025
11723,RESIDENTIAL CARE ELDERLY,345002902,UNITY MEMORY HOME CARE,UNITY MEMORY CARE INC,"LIU, YING",(916) 301-8792,8161 CHIMANGO COURT,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,4/15/2022,,5252025
12465,RESIDENTIAL CARE ELDERLY,342700766,YELLOWTAIL HOME CARE,YELLOWTAIL HOME CARE LLC,"LUI, YING",(916) 725-2445,8513 YELLOWTAIL WAY,ANTELOPE,CA,95843,SACRAMENTO,59,6,LICENSED,9/1/2020,,5252025
855,RESIDENTIAL CARE ELDERLY,342700167,ALDER GROVE SENIOR LIVING II,ALDER GROVE SENIOR CARE INC,"TAN, CLIFFORD",(650) 281-6612,637 SHOCKLEY ROAD,AUBURN,CA,95603,SACRAMENTO,59,6,LICENSED,6/16/2017,,5252025
451,RESIDENTIAL CARE ELDERLY,347004083,A & C CARE HOME,SOREN'S CORPORATION DBA A & C CARE HOME,"SUAYBAGUIO, CECILIA",(916) 488-8114,2949 GARFIELD AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,1/29/2009,,5252025
452,RESIDENTIAL CARE ELDERLY,347005161,A & C CARE HOME #2,"HALEY CORPORATION, DBA A & C CARE HOME","SUAYBAGUIO, CECILIA",(916) 993-8755,3601 GARFIELD AVE.,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,8/5/2013,,5252025
462,RESIDENTIAL CARE ELDERLY,342700327,A & V COMFORT HOME CARE,MARIA VERES,"VERES, VASILE",(916) 487-7015,5604 NORTH AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,7/11/2018,,5252025
353,RESIDENTIAL CARE ELDERLY,345920107,A NURSES TOUCH RCFE,A NURSES TOUCH RCFE LLC,"PRITCHETT, LENDOUR RN",(321) 223-7857,7209 LYNNBROOK COURT,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,3/1/2024,,5252025
183,RESIDENTIAL CARE ELDERLY,342700763,A-1 ELDERLY CARE,"TIF, ROBERT","TIF, ROBERT",(916) 996-4763,5210 ROBERTSON AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,2/16/2021,,5252025
468,RESIDENTIAL CARE ELDERLY,342700531,A1 MAGNIFICENT HOME,"LGES, LLC","GAERLAN, LEONIDA",(916) 335-5831,3311 MISSION AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,59,5,LICENSED,7/3/2019,,5252025
593,RESIDENTIAL CARE ELDERLY,347005215,ABUNDANT LOVE AND CARE FOR THE ELDERLY,"BONITE, VIRGINIA","BONITE, VIRGINIA",(916) 481-6817,2607 WALNUT AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,1/7/2014,,5252025
720,RESIDENTIAL CARE ELDERLY,347003994,AEGIS ASSISTED LIVING OF CARMICHAEL,AEGIS SENIOR COMMUNITIES LLC,TRACY LEHNER,(916) 972-1313,4050 WALNUT AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,90,LICENSED,6/20/2008,,5252025
1323,RESIDENTIAL CARE ELDERLY,345920320,ANGIE'S SUNRISE GARDEN CARE HOME,WAVERS FAITH & FRIENDSHIP FOUNDATION,"AGNELL, BRIAN",(916) 813-4607,3207 KAISER WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,PENDING,,,5252025
1643,RESIDENTIAL CARE ELDERLY,347005251,ATRIA CARMICHAEL OAKS,WG CARMICHAEL OAKS LP; ATRIA MANAGEMENT CO LLC,"DAVIS, KAYLA",(916) 944-2323,8350 FAIR OAKS BLVD,CARMICHAEL,CA,95608,SACRAMENTO,59,95,LICENSED,7/31/2014,,5252025
1649,RESIDENTIAL CARE ELDERLY,347000389,ATRIA EL CAMINO GARDENS,WG EL CAMINO GARDENS SH LP; ATRIA MANAGEMENT CO,"STANSEL, DANA",(916) 488-5722,2426 GARFIELD AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,325,LICENSED,10/31/1995,,5252025
1698,RESIDENTIAL CARE ELDERLY,342700927,"AUGUSTUS ELDER CARE HOME, LLC","AUGUSTUS ELDER CARE HOME, LLC","ARAGON, LEILANI",(925) 922-4561,5105 SCHUYLER DR,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,2/23/2021,,5252025
2153,RESIDENTIAL CARE ELDERLY,345920062,BLESSED HOMECARE 3,BLESSED HOMECARE LLC,"ARAMBULO, LERIZA",(209) 834-4040,6350 SAMOA WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,4/15/2024,,5252025
2208,RESIDENTIAL CARE ELDERLY,345920227,BLUE OASIS SENIOR HOME,"APPLE BLOSSOM SENIOR LIVING, LLC","TORRES, CHRISTINE",(279) 345-0540,3906 APPLE BLOSSOM WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,3/20/2025,,5252025
2229,RESIDENTIAL CARE ELDERLY,342700821,"BLUEBERRY HILL SENIOR LIVING, INC.","BLUEBERRY HILL SENIOR LIVING, INC.","HAMRIC, KEITH",(916) 900-8399,3827 OLIVE LANE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,5/14/2020,,5252025
2674,RESIDENTIAL CARE ELDERLY,345002881,"CARE HORIZONS ASSISTED LIVING, LLC","CARE HORIZONS ASSISTED LIVING, LLC","IORDACHE-STIR, ADRIANA",(916) 205-2273,6630 CARE LANE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,7/22/2022,5/17/2022,5252025
2675,RESIDENTIAL CARE ELDERLY,345002884,CARE HORIZONS II,"IORDACHE, DRAGOS ADRIAN","IORDACHE, DRAGOS ADRIAN",(916) 229-7154,6640 CARE LANE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,8/23/2022,5/17/2022,5252025
2676,RESIDENTIAL CARE ELDERLY,345920261,CARE HORIZONS LLC,CARE HORIZONS LLC,"IORDACHE,CRISTINA",(916) 333-4783,6645 CARE LANE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,4/10/2025,,5252025
2814,RESIDENTIAL CARE ELDERLY,345003020,CARMICHAEL ESTATES NO. 1,CARMICHAEL ESTATES LLC,"DELUCA, DAVID",(916) 333-4249,5228 EL CAMINO AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,5/22/2023,,5252025
2815,RESIDENTIAL CARE ELDERLY,345920001,CARMICHAEL ESTATES NO. 2,CARMICHAEL ESTATES LLC,"MCFADDEN, REBECCA",(916) 514-9375,5220 EL CAMINO AVE.,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,5/22/2023,,5252025
2816,RESIDENTIAL CARE ELDERLY,345003017,CARMICHAEL ESTATES NO. 3,CARMICHAEL ESTATES LLC,"MCFADDEN, REBECCA",(916) 501-5001,5216 EL CAMINO AVE.,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,5/22/2023,,5252025
2817,RESIDENTIAL CARE ELDERLY,342700098,CARMICHAEL SENIOR CARE,SUNRIVER SENIOR CARE LLC,"DIZON, MARIA SUSIE V",(916) 990-3934,5208 FAIR OAKS BLVD,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,12/30/2016,,5252025
2858,RESIDENTIAL CARE ELDERLY,345920323,CASA AMORE,"CARRASCO, MARIA PAZ","CARRASCO, MARIA PAZ",(279) 345-0606,3136 GARFIELD AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,PENDING,,,5252025
3077,RESIDENTIAL CARE ELDERLY,347005689,CHATEAU ROYALE CARE,ALP CARE INC,"PAMINTUAN, JOHN PAUL",(916) 365-7994,2745 CALIFORNIA AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,7/27/2016,,5252025
3459,RESIDENTIAL CARE ELDERLY,347003472,CORNELIA'S RCFE,"CATA, CORNELIA",CORNELIA CATA,(916) 489-3299,5422 NORTH AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,12/21/2007,,5252025
3571,RESIDENTIAL CARE ELDERLY,345002938,COZY HOME CARE,"BRIONES, AIDA R.","BRIONES, AIDA R.",(916) 283-4142,5643 CLARK AVE.,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,12/12/2022,,5252025
3676,RESIDENTIAL CARE ELDERLY,347005212,CYPRESS HOME CARE,DINA BISCOS,"BISCOS, DINA",(916) 993-8479,4801 CYPRESS AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,10/20/2014,,5252025
4054,RESIDENTIAL CARE ELDERLY,342700309,D&T LIVING SOLUTION HOME CARE,D&T LIVING SOLUTION HOME CARE LLC,"SAVENCO, TATIANA",(916) 550-0319,2829 PANAY CT,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,7/2/2018,,5252025
3774,RESIDENTIAL CARE ELDERLY,345002929,DEAN ESTATE,DEAN AND GREY CARE SERVICES INC,"RAMOS, KARL",(916) 934-4234,5214 NORTH AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,10/25/2022,,5252025
4170,RESIDENTIAL CARE ELDERLY,345920170,ELDERLY CAREHOME,"EGANTE, SARAH JANE","SOCORRO CALDEIRA, MARIA",(559) 492-6424,8404 GAYLOR WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,11/6/2024,,5252025
4178,RESIDENTIAL CARE ELDERLY,347001289,"ELDERLY INN I, THE","TOPLEAN, DANIELA","TOPLEAN, DANIELA",(916) 715-5514,5206 ROBERTSON AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,9/22/1999,,5252025
4296,RESIDENTIAL CARE ELDERLY,345920258,EMERALD SENIOR CARE,EMERALD SENIOR CARE LLC,"TULENINOVA, NATALIA",(916) 257-4525,4824 ALEXON WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,5/23/2025,,5252025
45,RCFE-CONTINUING CARE RETIREMENT COMMUNITY,340313383,ESKATON VILLAGE,ESKATON; ESKATON PROPERTIES INC,"RIST, ALICIA",(916) 974-2000,3939 WALNUT AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,500,LICENSED,3/23/1992,,5252025
4390,RESIDENTIAL CARE ELDERLY,342700638,ESTHER CARE HOME,"OSAIEL, LLC","EGUAVOEN, CHARLES",(916) 560-3800,4415 ROLLINGROCK WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,10/2/2019,,5252025
4500,RESIDENTIAL CARE ELDERLY,342700333,FAIR OAKS ESTATES INC,FAIR OAKS ESTATE INC,"SAROAY, PARVEEN",(916) 944-2077,8845 FAIR OAKS BLVD,CARMICHAEL,CA,95608,SACRAMENTO,59,121,LICENSED,4/16/2018,,5252025
5051,RESIDENTIAL CARE ELDERLY,347003990,GOLDEN AGE CARE HOME,"GOLDEN AGE CARE HOME, LLC","PINZARIU, ELENA",(916) 967-3248,6323 PERRIN WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,4/11/2008,,5252025
5324,RESIDENTIAL CARE ELDERLY,345002972,GOOD SAMARITAN CARE FACILITY,GOOD SAMARITAN CARE FACILITY,"DANIELYAN, DANIEL",(916) 458-2615,4406 BARRETT ROAD,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,2/22/2023,,5252025
5462,RESIDENTIAL CARE ELDERLY,347005861,GRANDMA'S HOME II,MIHAIL MEHEDINTI,"MEHEDINTI, MIHAIL",(916) 696-6542,6520 MILES LANE,CARMICHAEL,CA,95608,SACRAMENTO,59,4,LICENSED,8/26/2016,,5252025
5577,RESIDENTIAL CARE ELDERLY,345002933,GREY MANOR,DEAN AND GREY CARE SERVICES INC,"RAMOS, KARL",(916) 934-4234,5216 NORTH AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,10/31/2022,,5252025
5679,RESIDENTIAL CARE ELDERLY,345920270,HAPPY JOURNEY AT CARMICHAEL,"HAPPY JOURNEY AT CARMICHAEL, LLC","SU, QUANYING",(916) 883-9188,4800 NORTH AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,PENDING,,,5252025
5709,RESIDENTIAL CARE ELDERLY,345920120,HARJIT AND NAVGEET RCFE,HARJIT AND NAVGEET RCFE LLC,"KAUR, NAVGEET",(916) 333-3037,5324 NYODA WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,5/8/2024,,5252025
5725,RESIDENTIAL CARE ELDERLY,347002550,HARMONY HOME,"CATA, CORNELIA","CATA, CORNELIA",(916) 485-5541,5000 MELVIN DRIVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,11/30/2004,,5252025
6043,RESIDENTIAL CARE ELDERLY,345002950,HOLLISTER CARE HOME,HOLLISTER CARE HOME LLC,"KONG, JESSICA",(916) 860-3014,3734 HOLLISTER AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,11/22/2022,,5252025
6521,RESIDENTIAL CARE ELDERLY,345920069,JAZBA CARE STAMP MILL,JAZBA CARE LLC,"VIPULANANDA, SANGEETHA",(916) 838-1457,2625 STAMP MILL COURT,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,11/21/2023,,5252025
6852,RESIDENTIAL CARE ELDERLY,345920181,KRISSUN PLACE LLC,KRISSUN PLACE LLC,"KPULUN, THOMAS",(916) 813-0596,5801 NORTH AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,10/4/2024,,5252025
6896,RESIDENTIAL CARE ELDERLY,347001696,LA HONDA GUEST HOME,"TORRES, NEAL & MARGARITA","TORRES, MARGARITA",(916) 944-8909,3940 LA HONDA WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,3/26/2001,,5252025
7092,RESIDENTIAL CARE ELDERLY,345920201,LEGACY LANE SENIOR LIVING II,LEGACY LANE SENIOR LIVING LLC,"GARDINER, CLEOPATRA",(564) 200-1736,3039 WALNUT AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,1/7/2025,,5252025
7241,RESIDENTIAL CARE ELDERLY,345003004,LITTLE BROOK CARE HOME,LITTLE BROOK CARE HOME #1 LLC,"POP, PERSIDA",(279) 289-6907,8832 FAIR OAKS BLVD,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,4/26/2023,,5252025
7243,RESIDENTIAL CARE ELDERLY,345003012,LITTLE BROOK CARE HOME #2,LITTLE BROOK CARE HOME #2 LLC,"POP, PERSIDA",(916) 514-0678,3840 DELL RD,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,7/3/2023,,5252025
7244,RESIDENTIAL CARE ELDERLY,345003014,LITTLE BROOK CARE HOME #3,LITTLE BROOK CARE HOME #3 LLC,"POP, PERSIDA",(916) 500-4512,7300 NOB HILL DR,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,6/14/2023,,5252025
7402,RESIDENTIAL CARE ELDERLY,345003008,LOVING ANGELS CAREHOME 2,LOVING ANGELS CAREHOME LLC,"MUNGCAL, MIRASOL",(916) 350-4749,4722 HACKBERRY LANE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,8/22/2023,,5252025
7423,RESIDENTIAL CARE ELDERLY,342700711,LOVING CARE SENIOR LIVING,LOVING CARE SENIOR LIVING LLC,"RONSTADT, STEVEN",(916) 844-7271,4436 JAN DRIVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,1/27/2020,,5252025
7424,RESIDENTIAL CARE ELDERLY,342700678,LOVING CARE SENIOR LIVING II,LOVING CARE SENIOR LIVING LLC,"RONSTADT, STEVEN",(916) 944-4969,4021 FAIRWOOD WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,1/9/2020,,5252025
7512,RESIDENTIAL CARE ELDERLY,347003913,MACKELLAH HOME II,"JACINTO, NELSON S.","JACINTO, NELSON S.",(916) 844-7590,6236 TEMPLETON DRIVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,3/6/2008,,5252025
7525,RESIDENTIAL CARE ELDERLY,345002940,MADISON SQUARE SENIOR LIVING II,MADISON SQUARE SENIOR LIVING LLC,DARIUS O. STIR,(916) 757-0918,3120 COLORADO ST.,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,12/27/2022,,5252025
7608,RESIDENTIAL CARE ELDERLY,345002930,MAMA CLAUDIA'S LOVING NEST,"MAMA CLAUDIA'S LOVING NEST, LLC","MIHAI, CLAUDIA",(916) 745-9876,4230 PARADISE DR.,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,3/2/2023,,5252025
7790,RESIDENTIAL CARE ELDERLY,347005860,MCGREGOR HOME GARFIELD,"ARANA, LUISITO M. & HEIDI REMEDIOS S.","PAZ, MARIE",(916) 692-5886,3136 GARFIELD AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,9/22/2015,,5252025
8043,RESIDENTIAL CARE ELDERLY,345002859,MOAI,CRAIG M. FOWLER,"FOWLER, CRAIG M.",(916) 844-5250,2633 CARDINAL COURT,CARMICHAEL,CA,95608,SACRAMENTO,59,5,LICENSED,10/12/2022,,5252025
8156,RESIDENTIAL CARE ELDERLY,347005580,MOUNTAIN MANOR SENIOR RESIDENCE,"GRANDCARE, INC.",DARRELL PRICE,(916) 488-7211,6101 FAIR OAKS BLVD,CARMICHAEL,CA,95608,SACRAMENTO,59,33,LICENSED,8/13/2015,,5252025
8367,RESIDENTIAL CARE ELDERLY,342700429,NEW LIFE,"CUSTURA, VLAD","CUSTURA, VLAD",(916) 285-5302,6307 GRANT AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,2/1/2019,,5252025
8513,RESIDENTIAL CARE ELDERLY,347002205,OAK GARDEN SENIOR RESIDENCE,"ANTON, TEOFIL","ANTON, TEOFIL",(916) 944-0774,6707 SUN DOWN COURT,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,9/28/2004,,5252025
8554,RESIDENTIAL CARE ELDERLY,342700751,OAKMONT OF CARMICHAEL,WELLTOWER CARMICHAEL TENANT LLC;OAKMONT MGMT,"FRANGIEH, CAROLINE",(916) 483-3800,4717 ENGLE ROAD,CARMICHAEL,CA,95608,SACRAMENTO,59,101,LICENSED,5/3/2021,,5252025
8610,RESIDENTIAL CARE ELDERLY,342700050,"OAKS AT GARFIELD, THE",AN ULTIMATE SENIOR CARE LLC,"MANEV, ATANAS M",(916) 342-9695,3500 GARFIELD AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,3/30/2017,,5252025
8748,RESIDENTIAL CARE ELDERLY,342700044,OLTEAN'S HOME CARE,"OLTEAN, DIANNE","OLTEAN, DIANNE",(916) 484-1763,4213 WALNUT AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,10/27/2017,,5252025
8768,RESIDENTIAL CARE ELDERLY,345002979,ONLY LOVE ELDERLY CARE HOME,OHANA SENIOR SERVICES LLC,ALEKSANDR SHELUDCHENKO,(808) 228-0588,4901 MELVIN DR,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,2/7/2023,,5252025
8973,RESIDENTIAL CARE ELDERLY,342700489,PALMS COURT I,MATODA INC,"OGUNDWIN, ADEOLA",(916) 993-8166,6821 LINCOLN AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,5/22/2019,,5252025
8977,RESIDENTIAL CARE ELDERLY,345920175,"PALMS SENIOR LIVING, LLC, THE","PALMS SENIOR LIVING LLC, THE","KAUR, NAVGEET",(951) 775-4933,5512 WINDING WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,8/6/2024,,5252025
9447,RESIDENTIAL CARE ELDERLY,345920075,PURE CARE HOME,PURE CARE HOME LLC,"MESLOUB, SID ALI",(916) 254-1412,6355 PERRIN WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,2/26/2024,,5252025
9667,RESIDENTIAL CARE ELDERLY,345920204,REMINISCE CARE RETREAT 1,SENIOR VILLA CARE LLC,"ROMERO, S RUSSEL",(916) 483-5507,3425 PALESTINE LN,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,1/15/2025,,5252025
9668,RESIDENTIAL CARE ELDERLY,345920203,REMINISCE CARE RETREAT 2,SENIOR VILLA CARE LLC,"ROMERO, S RUSSEL",(916) 283-4257,3431 PALESTINE LN,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,1/16/2025,,5252025
10435,RESIDENTIAL CARE ELDERLY,345920302,SERENITY RESIDENCE,CURRA INC,"FRESLASSIE, MERHAWIT",(408) 680-6566,5043 NORTH AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,PENDING,,,5252025
10585,RESIDENTIAL CARE ELDERLY,342700588,SIGNATURE LIVING ON WINDING WAY,"SIGNATURE LIVING ON WINDING WAY, LLC","AFABLE, SCOTT",(916) 812-0944,6258 WINDING WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,10/29/2019,,5252025
10586,RESIDENTIAL CARE ELDERLY,342700777,SIGNATURE LIVING ON WINDING WAY II,"SIGNATURE LIVING ON WINDING WAY II, LLC","AFABLE, SCOTT",(916) 812-0944,6270 WINDING WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,6/16/2020,,5252025
10587,RESIDENTIAL CARE ELDERLY,345920046,SIGNATURE LIVING ON WINDING WAY III,"SIGNATURE LIVING ON WINDING WAY III, LLC","AFABLE, SCOTT",(916) 952-4348,6264 WINDING WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,10/14/2023,,5252025
